,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
735,南港軟體園區北站,三重路19-14號對面(向北),311978.3578,2772422.769,121.6142966,25.05872469,公車站,交通便利設施,blue
736,南港展覽館,南港路一段75號對面(向西),312111.5714,2772048.456,121.6156,25.05534,公車站,交通便利設施,blue
737,南港,南港路一段114號(向西),311915.6698,2772053.595,121.6136587,25.05539443,公車站,交通便利設施,blue
738,南港高工(南港路),南港路一段257號對面(向西),311524.1546,2772004.624,121.6097763,25.05496831,公車站,交通便利設施,blue
739,南港行政中心,南港路一段360號同向(向西),311215.5654,2771942.605,121.6067152,25.05442094,公車站,交通便利設施,blue
740,台肥新村,南港路二段78號同向(向西),310902.8855,2771878.689,121.6036135,25.05385654,公車站,交通便利設施,blue
741,南港輪胎,南港路二段142號同向(向西),310619.7715,2771829.705,121.6008055,25.0534257,公車站,交通便利設施,blue
742,南港輪胎,南港路二段有天橋同向(向東),310630.8973,2771819.171,121.6009153,25.05333016,公車站,交通便利設施,blue
743,台肥新村,南港路二段(向東),310842.5657,2771853.987,121.6030146,25.05363597,公車站,交通便利設施,blue
744,南港行政中心,南港路一段(向東),311252.5976,2771937.784,121.607082,25.05437592,公車站,交通便利設施,blue
745,南港,南港路一段167號同向(向東),311912.5407,2772024.933,121.6136264,25.0551358,公車站,交通便利設施,blue
746,捷運南港展覽館站(南港路),南港路23號對面(向東),312350.4398,2771998.453,121.6179651,25.05487875,公車站,交通便利設施,blue
747,遠東世界中心,(向東),315231.4952,2772661.477,121.6465497,25.06074281,公車站,交通便利設施,blue
748,連興街口,新台五路156號同向(向東),315996.4592,2772842.076,121.65414,25.06234,公車站,交通便利設施,blue
749,秀峰高中(忠孝東路),忠孝東路222號同向(向東),316806.0854,2773328.641,121.662188,25.066697,公車站,交通便利設施,blue
750,汐止後車站,忠孝東路314號同向(向東),317003.6891,2773543.065,121.664157,25.068624,公車站,交通便利設施,blue
751,摩登家庭社區,新北市汐止區忠孝東路365號旁(向北),317195.0508,2773855.935,121.666069,25.07144,公車站,交通便利設施,blue
752,橋東,忠孝東路476號同向(向北),317208.1356,2774087.399,121.66621,25.073529,公車站,交通便利設施,blue
753,崇義高中(忠孝東路),汐止區忠孝東路517號西側(向北),317298.5704,2774365.436,121.66712,25.076035,公車站,交通便利設施,blue
754,福德一路口,汐止市福德一路口與康寧街口,314578.5908,2774185.797,121.6401502,25.074532,公車站,交通便利設施,blue
755,橫科,大同路一段4號同向(向東),312695.0244,2771994.631,121.62138,25.05483,公車站,交通便利設施,blue
756,汐止農會,新台五路二段220號同向(向西),316183.5855,2772953.309,121.656,25.063336,公車站,交通便利設施,blue
757,鄉長路一段,鄉長路一段29號對面(向北),317098.2292,2774136.705,121.665123,25.073979,公車站,交通便利設施,blue
758,南港高工(重陽),重陽路359號對面(向東),311249.5084,2772356.375,121.60707,25.058155,公車站,交通便利設施,blue
759,南港軟體園區南站,三重路19-10號(向南),311944.0262,2772170.699,121.613945,25.05645046,公車站,交通便利設施,blue
760,汐科站南站,大同路二段11號同向(向東),315297.9185,2772890.7,121.6472189,25.0628093,公車站,交通便利設施,blue
761,崇義高中,大同路三段71號同向(向東),317341.5216,2774466.653,121.6675507,25.07694684,公車站,交通便利設施,blue
762,大武崙,基金一路371號,320992.8861,2781673.287,121.7041168,25.141838,公車站,交通便利設施,blue
763,武嶺街口,基金一路133號,321774.3667,2781500.264,121.7118581,25.140239,公車站,交通便利設施,blue
764,興寮里,基金一路117號,322416.033,2781326.984,121.7182126,25.138644,公車站,交通便利設施,blue
765,麥金路樂利三街口,麥金路479號,322546.992,2780134.883,121.7194483,25.127876,公車站,交通便利設施,blue
766,婦幼福利服務中心,麥金路433號,322557.1035,2779823.445,121.7195321,25.125064,公車站,交通便利設施,blue
767,快速道路上(不停靠),虛擬站,320588.1378,2776759.775,121.69985,25.0975,公車站,交通便利設施,blue
768,快速道路上(不停靠),虛擬站,317067.8617,2774711.196,121.66485,25.07916667,公車站,交通便利設施,blue
769,快速道路上(不停靠),虛擬站,311862.6283,2773172.739,121.6131833,25.0655,公車站,交通便利設施,blue
770,麥金路樂利三街口,麥金路479號對面,322546.0514,2780065.424,121.7194353,25.127249,公車站,交通便利設施,blue
771,興寮里,基金一路106號右側,322444.105,2781347.848,121.7184921,25.138831,公車站,交通便利設施,blue
772,忠聯倉儲,基金一路110-7號(向西),322198.5708,2781416.772,121.7160607,25.139465,公車站,交通便利設施,blue
773,武嶺街口,基金一路172-7號,321740.5698,2781539.964,121.711525,25.140599,公車站,交通便利設施,blue
774,大武崙,基金一路372號左側候車亭,321013.0525,2781696.432,121.704318,25.142046,公車站,交通便利設施,blue
775,麥金路樂利三街口,麥金路479號對面,322546.0514,2780065.424,121.7194353,25.127249,公車站,交通便利設施,blue
776,龍騰大地社區,麥金路546號對面,322506.2761,2780243.777,121.7190503,25.128861,公車站,交通便利設施,blue
777,福德一路口,汐止市福德一路與康寧街口,314599.9359,2774173.492,121.6403612,25.07442,公車站,交通便利設施,blue
